Winner,Loser,Winner_Score,Loser_Score
plyr. Congo,plyr. Ghana,3,1
plyr. Mexico,plyr. Honduras,1,0
plyr. Guatemala,plyr. Nicaragua,2,0
plyr. Hungary,plyr. Algeria,1,0
plyr. Italy,plyr. Cyprus,2,0
plyr. Romania,plyr. France,2,1
plyr. Germany,plyr. Bulgaria,1,0
plyr. Hong Kong,plyr. Vietnam Republic,2,0
plyr. Egypt,plyr. Libya,3,2
plyr. Vietnam Republic,plyr. Thailand,1,0
plyr. Ivory Coast,plyr. Gabon,3,0
plyr. Malaysia,plyr. Vietnam Republic,2,0
plyr. Guinea,plyr. Liberia,3,0
plyr. Sudan,plyr. DR Congo,1,0
plyr. Togo,plyr. Niger,1,0
plyr. Vietnam Republic,plyr. Singapore,3,0
plyr. Jersey,plyr. Alderney,3,1
plyr. Algeria,plyr. Burkina Faso,3,1
plyr. Scotland,plyr. England,3,2
plyr. Belgium,plyr. Netherlands,1,0
plyr. Congo,plyr. DR Congo,3,1
plyr. Hungary,plyr. Yugoslavia,1,0
plyr. Ivory Coast,plyr. Togo,3,0
plyr. Czechoslovakia,plyr. Switzerland,2,1
plyr. Yugoslavia,plyr. Germany,1,0
plyr. Ivory Coast,plyr. Nigeria,2,0
plyr. Jersey,plyr. Guernsey,3,1
plyr. Hungary,plyr. Netherlands,2,1
plyr. Russia,plyr. Scotland,2,0
plyr. Yugoslavia,plyr. Albania,2,0
plyr. Suriname,plyr. French Guiana,3,0
plyr. Scotland,plyr. Israel,2,1
plyr. German DR,plyr. Sweden,1,0
plyr. Congo,plyr. Cameroon,2,1
plyr. Czechoslovakia,plyr. Republic of Ireland,2,0
plyr. Poland,plyr. Belgium,3,1
plyr. Hungary,plyr. Denmark,2,0
plyr. England,plyr. Spain,2,0
plyr. Ghana,plyr. DR Congo,2,0
plyr. England,plyr. Austria,1,0
plyr. Russia,plyr. Mexico,2,0
plyr. Spain,plyr. Turkey,2,0
plyr. Norway,plyr. Finland,2,0
plyr. Mexico,plyr. Russia,1,0
plyr. Belarus,plyr. Mexico,2,1
plyr. Egypt,plyr. Uganda,1,0
plyr. Portugal,plyr. Norway,2,1
plyr. Bulgaria,plyr. Sweden,2,0
plyr. Czechoslovakia,plyr. Turkey,3,0
plyr. Zambia,plyr. Uganda,3,1
plyr. Italy,plyr. Romania,1,0
plyr. Benin,plyr. Ghana,2,1
plyr. Tanzania,plyr. Zambia,2,1
plyr. Uruguay,plyr. Peru,1,0
plyr. Peru,plyr. Japan,1,0
plyr. Uruguay,plyr. Peru,2,1
plyr. Suriname,plyr. Guyana,1,0
plyr. Japan,plyr. South Korea,2,1
plyr. Burkina Faso,plyr. Niger,3,2
plyr. DR Congo,plyr. Ethiopia,1,0
plyr. Suriname,plyr. Guyana,2,0
plyr. Tanzania,plyr. Mauritius,1,0
plyr. Japan,plyr. Philippines,2,0
plyr. Japan,plyr. Indonesia,2,1
plyr. Hong Kong,plyr. Thailand,1,0
plyr. Malaysia,plyr. Western Australia,3,2
plyr. Sweden,plyr. Finland,2,0
plyr. South Korea,plyr. Indonesia,3,1
plyr. South Korea,plyr. Myanmar,1,0
plyr. DR Congo,plyr. Sudan,2,1
plyr. India,plyr. Western Australia,3,1
plyr. Malaysia,plyr. Hong Kong,3,0
plyr. Myanmar,plyr. Singapore,3,0
plyr. Chile,plyr. Argentina,1,0
plyr. Indonesia,plyr. Taiwan,2,1
plyr. Western Australia,plyr. Thailand,3,1
plyr. Ivory Coast,plyr. Togo,2,0
plyr. Vietnam Republic,plyr. Western Australia,3,0
plyr. Hong Kong,plyr. Western Australia,3,2
plyr. South Korea,plyr. Taiwan,2,1
plyr. Taiwan,plyr. Myanmar,2,1
plyr. Malaysia,plyr. Thailand,1,0
plyr. Vietnam Republic,plyr. India,1,0
plyr. South Korea,plyr. Singapore,3,0
plyr. Myanmar,plyr. Vietnam Republic,3,0
plyr. Mexico,plyr. Argentina,2,1
plyr. Hong Kong,plyr. Indonesia,2,1
plyr. South Korea,plyr. Malaysia,3,1
plyr. Vietnam Republic,plyr. Malaysia,2,1
plyr. Indonesia,plyr. India,3,0
plyr. Singapore,plyr. Vietnam Republic,1,0
plyr. Russia,plyr. Finland,2,0
plyr. Ghana,plyr. DR Congo,2,0
plyr. Norway,plyr. Sweden,3,1
plyr. Hungary,plyr. Austria,3,1
plyr. Netherlands,plyr. German DR,1,0
plyr. DR Congo,plyr. Tanzania,1,0
plyr. Brazil,plyr. Chile,1,0
plyr. Austria,plyr. Finland,2,1
plyr. Hungary,plyr. German DR,3,1
plyr. Kenya,plyr. Uganda,3,1
plyr. Czechoslovakia,plyr. Spain,1,0
plyr. Uganda,plyr. Tanzania,2,1
plyr. Denmark,plyr. Netherlands,3,2
plyr. Uganda,plyr. Zanzibar,2,0
plyr. Germany,plyr. Yugoslavia,3,1
plyr. Russia,plyr. Bulgaria,2,1
plyr. El Salvador,plyr. Haiti,2,0
plyr. Zanzibar,plyr. Tanzania,3,0
plyr. German DR,plyr. Denmark,3,2
plyr. DR Congo,plyr. Tanzania,1,0
plyr. Austria,plyr. Russia,1,0
plyr. Ghana,plyr. Nigeria,2,1
plyr. Northern Ireland,plyr. Scotland,1,0
plyr. England,plyr. Wales,3,0
plyr. Denmark,plyr. Finland,3,0
plyr. Guatemala,plyr. El Salvador,1,0
plyr. Spain,plyr. Czechoslovakia,2,1
plyr. Trinidad and Tobago,plyr. Martinique,3,2
plyr. El Salvador,plyr. Costa Rica,3,1
plyr. German DR,plyr. Hungary,1,0
plyr. Ethiopia,plyr. Uganda,3,2
plyr. Russia,plyr. Greece,1,0
plyr. Yugoslavia,plyr. Netherlands,2,1
plyr. Malaysia,plyr. Thailand,3,2
plyr. Vietnam Republic,plyr. Singapore,2,0
plyr. Guatemala,plyr. El Salvador,3,1
plyr. South Korea,plyr. Hong Kong,1,0
plyr. South Korea,plyr. Thailand,3,1
plyr. Australia,plyr. Vietnam Republic,1,0
plyr. Chile,plyr. Argentina,3,1
plyr. Malaysia,plyr. Hong Kong,2,0
plyr. New Zealand,plyr. Singapore,3,1
plyr. Martinique,plyr. Guadeloupe,1,0
plyr. South Korea,plyr. Malaysia,2,1
plyr. Australia,plyr. Malaysia,1,0
plyr. Bulgaria,plyr. Sweden,3,0
plyr. Myanmar,plyr. India,2,0
plyr. Portugal,plyr. Norway,2,1
plyr. South Korea,plyr. Vietnam Republic,3,0
plyr. Zimbabwe,plyr. Malawi,1,0
plyr. Australia,plyr. South Korea,3,2
plyr. Mali,plyr. Burkina Faso,1,0
plyr. Myanmar,plyr. Cambodia,1,0
plyr. Myanmar,plyr. Pakistan,2,0
plyr. Belgium,plyr. Luxembourg,3,0
plyr. Republic of Ireland,plyr. Czechoslovakia,2,1
plyr. England,plyr. Northern Ireland,2,0
plyr. Romania,plyr. Germany,1,0
plyr. Scotland,plyr. Wales,3,2
plyr. Senegal,plyr. Guinea,2,1
plyr. Mauritius,plyr. Zimbabwe,2,1
plyr. Bulgaria,plyr. Portugal,1,0
plyr. Burkina Faso,plyr. Ivory Coast,3,2
plyr. Turkey,plyr. Iran,1,0
